gpu,vcpu_memgb_ratio,clock_speed_ghz,daily_price,cloud_service_id,memory_gb,memgb_vcpu_ratio,vcpu,processor_manufacturer,instance_id,architecture,cloud_provider_id,gCO2eq24hs,network,category
1,0.5333333333333333,2.6,15.6,aws-ec2,15,1.875,8,intel,g2.2xlarge,x86_64,aws,3064.8,Moderate,compute
4,0.5333333333333333,2.6,62.4,aws-ec2,60,1.875,32,intel,g2.8xlarge,x86_64,aws,12255.7,High,compute
4,0.13114754098360656,2.3,109.44,aws-ec2,488,7.625,64,intel,g3.16xlarge,x86_64,aws,17403.4,25 Gigabit,compute
1,0.13114754098360656,2.3,27.36,aws-ec2,122,7.625,16,intel,g3.4xlarge,x86_64,aws,4349.7,Up to 10 Gigabit,compute
2,0.13114754098360656,2.3,54.72,aws-ec2,244,7.625,32,intel,g3.8xlarge,x86_64,aws,8701.7,10 Gigabit,compute
1,0.13114754098360656,2.3,18,aws-ec2,30.5,7.625,4,intel,g3s.xlarge,x86_64,aws,3114.6,Up to 10 Gigabit,compute
4,0.25,2.8,83.23,aws-ec2,256,4,64,amd,g4ad.16xlarge,x86_64,aws,12531.7,25 Gigabit,compute
1,0.25,2.8,20.81,aws-ec2,64,4,16,amd,g4ad.4xlarge,x86_64,aws,3131.7,Up to 10 Gigabit,compute
2,0.25,2.8,41.62,aws-ec2,128,4,32,amd,g4ad.8xlarge,x86_64,aws,6265.8,15 Gigabit,compute
4,0.25,2.5,93.89,aws-ec2,192,4,48,intel,g4dn.12xlarge,x86_64,aws,6967.4,50 Gigabit,compute
1,0.25,2.5,104.45,aws-ec2,256,4,64,intel,g4dn.16xlarge,x86_64,aws,6557.5,50 Gigabit,compute
1,0.25,2.5,18.05,aws-ec2,32,4,8,intel,g4dn.2xlarge,x86_64,aws,1372.6,Up to 25 Gigabit,compute
1,0.25,2.5,28.9,aws-ec2,64,4,16,intel,g4dn.4xlarge,x86_64,aws,2111.7,Up to 25 Gigabit,compute
1,0.25,2.5,52.22,aws-ec2,128,4,32,intel,g4dn.8xlarge,x86_64,aws,3592.4,50 Gigabit,compute
